Gene1	Gene2	Observed_CoMutation	FixedMargin_Expected	Null_SD	Observed_Expected_Ratio	Permutation_Z	Permutation_P	FDR	Direction
CSNK1E	NR1D1	7	7.0009	0.8621911199686153	0.9998714450999158	-0.0010438520870319793	0.764023597640236	0.9057555782883251	Depleted
NR1D2	RORC	9	8.9757	0.8270295688733137	1.002707309736288	0.029382262635548575	0.7657234276572342	0.9057555782883251	Enriched
CRY2	NR1D1	9	8.9645	0.8116068140189904	1.0039600646996487	0.04374039175966074	0.7693230676932307	0.9057555782883251	Enriched
CSNK1D	NR1D2	9	8.8868	0.6990240507037981	1.0127379934284557	0.16194006470310676	0.7694230576942306	0.9057555782883251	Enriched
NPAS2	NR1D2	12	11.9387	0.763020661616057	1.0051345623895398	0.0803385846330393	0.7705229477052294	0.9057555782883251	Enriched
CLOCK	RORA	13	13.1725	1.0137290144074327	0.9869045359650788	-0.1701638184844033	0.7794220577942206	0.9057555782883251	Depleted
NR1D1	RORB	8	8.0622	0.8546368822020507	0.9922849842474758	-0.07277944738324031	0.7838216178382161	0.9057555782883251	Depleted
CRY2	CSNK1E	10	9.9965	0.7915493699324787	1.0003501225428901	0.004421707770798029	0.7854214578542146	0.9057555782883251	Enriched
CRY2	RORC	11	11.0974	0.8925205315789261	0.9912231693910285	-0.10912914219204967	0.7854214578542146	0.9057555782883251	Depleted
NPAS2	PER1	20	20.1814	1.0064766959716223	0.9910115254640411	-0.1802326876777628	0.788021197880212	0.9057555782883251	Depleted
NPAS2	NR1D1	11	11.112	0.904177943645706	0.9899208063354932	-0.12386942281339954	0.7888211178882112	0.9057555782883251	Depleted
CSNK1E	RORB	9	9.0838	0.875930525457666	0.9907747858825602	-0.09566968790842782	0.789021097890211	0.9057555782883251	Depleted
NR1D1	NR1D2	6	5.9777	0.7366525474723955	1.0037305318098935	0.030272073417130313	0.7896210378962104	0.9057555782883251	Enriched
CSNK1D	PER1	13	13.0829	0.8742448286390032	0.9936634843956614	-0.09482469587959305	0.791020897910209	0.9057555782883251	Depleted
CSNK1D	RORC	10	10.0917	0.8880146209363333	0.9909133248114788	-0.10326406552102696	0.791920807919208	0.9057555782883251	Depleted
PER2	RORB	17	17.176	0.98016328844086	0.9897531439217514	-0.17956191797385163	0.7937206279372063	0.9057555782883251	Depleted
NPAS2	RORC	14	14.2838	1.070314027382488	0.9801313375992383	-0.2651558259906655	0.7943205679432057	0.9057555782883251	Depleted
ARNTL	CSNK1D	10	10.1146	0.8834845185341104	0.9886698435924308	-0.1297136481691216	0.7968203179682032	0.9057555782883251	Depleted
RORA	RORB	12	12.1344	0.9081955306607664	0.9889240506329114	-0.14798575357689261	0.7978202179782021	0.9057555782883251	Depleted
CRY1	RORB	10	10.0779	0.8490604692058376	0.9922702150249556	-0.0917484711929444	0.7994200579942006	0.9057555782883251	Depleted
CSNK1E	NR1D2	7	7.0022	0.7352885317496066	0.9996858130301904	-0.0029920227298599897	0.7998200179982001	0.9057555782883251	Depleted
CRY1	TIMELESS	12	12.1038	0.8636551105707656	0.9914241808357707	-0.12018686479073938	0.8026197380261973	0.9057555782883251	Depleted
ARNTL	CSNK1E	10	10.1251	0.8802996550881267	0.9876445664734176	-0.14211069977924282	0.8046195380461953	0.9057555782883251	Depleted
CLOCK	PER2	19	19.2636	1.013813504438651	0.9863161610498556	-0.26000837318295117	0.805019498050195	0.9057555782883251	Depleted
CRY2	RORA	11	11.1251	0.8693247739229888	0.9887551572570135	-0.1439047911121443	0.8083191680831917	0.9057555782883251	Depleted
CSNK1E	PER1	12	12.1643	0.8969871618907705	0.9864932630730908	-0.18316873081401827	0.8084191580841916	0.9057555782883251	Depleted
CRY1	CSNK1D	8	8.0842	0.8137423287858178	0.9895846218549764	-0.10347255761616052	0.80991900809919	0.9057555782883251	Depleted
RORC	TIMELESS	13	13.2603	0.981244207126545	0.9803699765465336	-0.26527545142127046	0.8164183581641836	0.9057555782883251	Depleted
ARNTL	TIMELESS	13	13.2641	0.9785943769997197	0.9800891127177872	-0.26987688280991906	0.8172182781721827	0.9057555782883251	Depleted
