Gene1	Gene2	Observed_CoMutation	FixedMargin_Expected	Null_SD	Observed_Expected_Ratio	Permutation_Z	Permutation_P	FDR	Direction
CRY1	TIMELESS	12	12.4054	2.2403019294893105	0.9673206829284021	-0.18095775157075075	0.6575342465753424	0.9998000199980002	Depleted
RORB	RORC	13	13.4346	2.2666796473393336	0.9676506929867655	-0.1917341961005122	0.6584341565843416	0.9998000199980002	Depleted
NR1D1	RORA	10	10.365	2.078366416370335	0.964785335262904	-0.17561869607065594	0.6593340665933407	0.9998000199980002	Depleted
ARNTL	PER2	19	19.5417	2.4782807140293355	0.9722797914203984	-0.2185789515019349	0.6645335466453355	0.9998000199980002	Depleted
CRY1	RORB	10	10.6412	2.116390906956252	0.9397436379355713	-0.30296860466205633	0.7044295570442956	0.9998000199980002	Depleted
PER2	RORB	17	17.7917	2.3778302121160304	0.9555017227134002	-0.3329506017569964	0.7055294470552945	0.9998000199980002	Depleted
NR1D1	NR1D2	6	6.5266	1.8260410407732515	0.9193148040327276	-0.2883834416870539	0.7093290670932907	0.9998000199980002	Depleted
CRY2	RORA	11	11.8012	2.2174242392978623	0.9321085991255127	-0.361320123502256	0.7230276972302769	0.9998000199980002	Depleted
CRY2	RORC	11	12.0605	2.214256092461823	0.9120683222088637	-0.4789418909629957	0.7654234576542346	0.9998000199980002	Depleted
CRY1	CSNK1D	8	8.9834	2.0356175509857906	0.8905314246276466	-0.48309664038992367	0.7665233476652334	0.9998000199980002	Depleted
RORA	RORB	12	13.1597	2.284319969218887	0.911874890764987	-0.5076784406855906	0.7672232776722328	0.9998000199980002	Depleted
RORB	TIMELESS	13	14.2308	2.306656330349763	0.9135115383534306	-0.5335862060619024	0.7788221177882212	0.9998000199980002	Depleted
CSNK1E	PER3	12	13.2733	2.2197972565047466	0.9040705777764384	-0.5736109440935684	0.7835216478352165	0.9998000199980002	Depleted
CLOCK	NR1D1	10	11.178	2.130579718525852	0.8946144211844694	-0.5529011610112664	0.7863213678632137	0.9998000199980002	Depleted
CSNK1D	RORC	10	11.2889	2.1513483260416004	0.8858258997776577	-0.5991126515395706	0.797020297970203	0.9998000199980002	Depleted
ARNTL	CSNK1D	10	11.293	2.1369154500737917	0.8855042946958294	-0.6050777535233551	0.8001199880011999	0.9998000199980002	Depleted
NPAS2	NR1D1	11	12.3466	2.1809044166142266	0.8909335363581876	-0.6174502604247769	0.8014198580141986	0.9998000199980002	Depleted
CSNK1E	PER1	12	13.4478	2.228176751777945	0.8923392673894615	-0.649768919294552	0.8095190480951905	0.9998000199980002	Depleted
CRY1	CSNK1E	8	9.2839	2.018045599287608	0.8617068257951939	-0.6362096081739828	0.8182181781821818	0.9998000199980002	Depleted
CLOCK	PER2	19	20.8383	2.5221001583840583	0.9117826310207646	-0.728876683937018	0.8246175382461753	0.9998000199980002	Depleted
CLOCK	RORC	14	15.7009	2.358642726135299	0.8916686304606742	-0.7211350753350305	0.8254174582541746	0.9998000199980002	Depleted
CRY1	NR1D1	7	8.3833	1.9980941789702515	0.8349933796953467	-0.6923097092014476	0.8266173382661733	0.9998000199980002	Depleted
CSNK1E	NR1D1	7	8.4243	1.9932553315322319	0.8309295727834953	-0.7145597342539801	0.8358164183581642	0.9998000199980002	Depleted
CLOCK	CRY2	11	12.7721	2.2784382190596713	0.8612522607871845	-0.7777696077848268	0.842015798420158	0.9998000199980002	Depleted
ARNTL	CSNK1E	10	11.6816	2.1814897042463834	0.8560471168333106	-0.7708493864200585	0.8431156884311569	0.9998000199980002	Depleted
CRY1	CRY2	8	9.5988	2.0876001454868565	0.833437513022461	-0.765855474505698	0.845015498450155	0.9998000199980002	Depleted
CSNK1E	RORB	9	10.6639	2.126590940661342	0.8439689044345877	-0.7824259796209556	0.8477152284771523	0.9998000199980002	Depleted
NR1D1	RORB	8	9.6758	2.043064309114404	0.8268050187064635	-0.8202384978896726	0.8573142685731426	0.9998000199980002	Depleted
CSNK1D	TIMELESS	10	12.0002	2.1739992151007614	0.8333194446759221	-0.9200555299682082	0.8778122187781222	0.9998000199980002	Depleted
CLOCK	RORA	13	15.3051	2.368411899879907	0.8493900725901824	-0.9732682056347048	0.8822117788221178	0.9998000199980002	Depleted
NR1D2	RORA	7	8.8403	1.9570842924853258	0.7918283316177054	-0.9403274080049865	0.8892110788921108	0.9998000199980002	Depleted
ARNTL	RORA	12	14.4146	2.3331633472863644	0.8324892817004981	-1.0349039653860292	0.8949105089491051	0.9998000199980002	Depleted
ARNTL	NR1D2	7	9.0019	1.9749649208641313	0.7776136149035204	-1.0136382569894369	0.8985101489851015	0.9998000199980002	Depleted
CSNK1E	TIMELESS	10	12.3819	2.215884339116199	0.8076304928968898	-1.0749207248560706	0.9015098490150985	0.9998000199980002	Depleted
CLOCK	TIMELESS	14	16.6196	2.4087083732994246	0.8423788779513347	-1.087553823052351	0.9043095690430957	0.9998000199980002	Depleted
CRY1	PER1	11	13.475	2.2269869660810118	0.8163265306122449	-1.1113670792404475	0.9077092290770923	0.9998000199980002	Depleted
RORC	TIMELESS	13	15.6523	2.362956424969921	0.8305488650230317	-1.1224498141279784	0.9086091390860914	0.9998000199980002	Depleted
ARNTL	TIMELESS	13	15.6602	2.4034794842817226	0.8301298833986794	-1.1068120270620898	0.9087091290870913	0.9998000199980002	Depleted
NR1D1	RORC	8	10.577	2.1017404053005992	0.7563581355771958	-1.2261266869594332	0.9306069393060694	0.9998000199980002	Depleted
NPAS2	RORC	14	17.3451	2.475685539782706	0.8071443808337803	-1.3511812975623723	0.9387061293870613	0.9998000199980002	Depleted
NR1D1	PER2	11	13.8487	2.169580378299405	0.7942983817975695	-1.3130188807445393	0.9419058094190581	0.9998000199980002	Depleted
ARNTL	CLOCK	12	15.6564	2.4097966204589127	0.7664597225415805	-1.5173064685034243	0.9591040895910409	0.9998000199980002	Depleted
PER3	RORC	13	16.7788	2.450034862421902	0.7747872315064248	-1.5423454000424268	0.9617038296170383	0.9998000199980002	Depleted
ARNTL	RORC	11	14.7129	2.3232333785767487	0.7476432246531955	-1.5981605783722785	0.967003299670033	0.9998000199980002	Depleted
CRY1	RORC	8	11.6924	2.1647288155989677	0.6842051246963841	-1.7057101902985174	0.9734026597340266	0.9998000199980002	Depleted
RORA	RORC	10	14.4136	2.348124019007698	0.6937891990897486	-1.8796281475222758	0.9846015398460154	0.9998000199980002	Depleted
CSNK1D	RORA	7	11.0781	2.136178062725944	0.6318773074805247	-1.9090637017384207	0.9855014498550145	0.9998000199980002	Depleted
NPAS2	RORA	12	16.9781	2.4308869391913546	0.7067928684599571	-2.047853365675653	0.9875012498750125	0.9998000199980002	Depleted
CLOCK	CSNK1E	8	12.398	2.1960597140849294	0.6452653653815131	-2.002677783209821	0.9884011598840116	0.9998000199980002	Depleted
CSNK1E	RORC	7	11.6728	2.166520145522329	0.5996847371667466	-2.1568227785269123	0.9927007299270073	0.9998000199980002	Depleted
CSNK1E	RORA	6	11.4611	2.1660461596181553	0.5235099597769848	-2.5212297419195897	0.9977002299770023	0.9998000199980002	Depleted
ARNTL	NR1D1	4	10.5086	2.1047016455787007	0.38064061816036393	-3.0924098024403928	0.9998000199980002	0.9998000199980002	Depleted
