Cancer_Type	Gene1	Gene2	N	CLOCK16_Mutated_Patients	Mean_CLOCK16_Genes_Per_Patient	Observed_CoMutation	Permutation_Expected	Observed_Expected_Ratio	Permutation_SD	Permutation_Z	Permutation_P	Direction	FDR_within_cancer	FDR_global	Robust_Significant
liver hepatocellular carcinoma	PER1	RORC	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.12965057241328598	-0.12855066010459623	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	PER1	TIMELESS	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.12852786445434358	-0.12967356718656986	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	PER2	PER3	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.1359066115415511	-0.12263322937435697	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	PER2	RORA	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.13481174808132293	-0.1236291859119932	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	PER2	RORB	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.11370876381483017	-0.1465732816672567	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	PER2	RORC	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.12512024419553677	-0.13320519612014306	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	PER2	TIMELESS	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.12314364147467607	-0.13534329882630675	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	PER3	RORA	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.12627586689251413	-0.13198615916731987	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	PER3	RORB	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.12704004847839023	-0.13119222533594752	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	PER3	RORC	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.1207820302440847	-0.1379896217424522	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	PER3	TIMELESS	53	53	1.0377358490566038	1	0.016666666666666666	60.0	0.13152554845728529	7.476367480441902	0.0173982601739826	Enriched	1.0	1.0	False
liver hepatocellular carcinoma	RORA	RORB	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.13078941313064565	-0.1274313131906045	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	RORA	RORC	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.12155853589018246	-0.13710815570963725	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	RORA	TIMELESS	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.1277735207594309	-0.1304391282920527	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	RORB	RORC	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.12240285227814168	-0.13616240435961596	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	RORB	TIMELESS	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.13406784632693208	-0.1243151667106224	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	RORC	TIMELESS	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.1363137856007766	-0.12226691961646846	1.0	Depleted	1.0	1.0	False
lung adenocarcinoma	ARNTL	CLOCK	90	90	1.288888888888889	0	0.25833333333333336	0.0	0.5137062773744753	-0.5028814026833796	1.0	Depleted	1.0	1.0	False
