Cancer_Type	Gene	Primary_Patients	Mutated_Patients	Prevalence_Percent	Odds_Ratio	P_value	FDR	Direction
head & neck squamous cell carcinoma	ARNTL	528	3	0.568181818181818	0.569440694005886	0.491696229151011	0.861487340729975	Depleted
liver hepatocellular carcinoma	RORB	377	3	0.795755968169761	0.590146059978644	0.492068310587949	0.861487340729975	Depleted
cholangiocarcinoma	TIMELESS	36	1	2.77777777777778	1.53416262558503	0.486511325488952	0.861487340729975	Enriched
uterine carcinosarcoma	RORC	57	1	1.75438596491228	1.51165016974929	0.489803867474013	0.861487340729975	Enriched
head & neck squamous cell carcinoma	CRY1	528	6	1.13636363636364	1.2597884923448	0.485559660176592	0.861487340729975	Enriched
lung adenocarcinoma	PER2	520	11	2.11538461538462	1.25138521238231	0.485491902985815	0.861487340729975	Enriched
lung adenocarcinoma	RORA	520	7	1.34615384615385	1.32076378900844	0.500064424142144	0.870860493744143	Enriched
liver hepatocellular carcinoma	NR1D1	377	1	0.26525198938992	0.350222426824408	0.530108814398831	0.893916778717493	Depleted
pancreatic adenocarcinoma	NPAS2	185	1	0.540540540540541	0.352594930949128	0.532102682126128	0.893916778717493	Depleted
rectum adenocarcinoma	PER3	167	1	0.598802395209581	0.361291875238372	0.529004011151334	0.893916778717493	Depleted
kidney papillary cell carcinoma	CRY1	291	1	0.343642611683849	0.366617265493493	0.526160064186482	0.893916778717493	Depleted
rectum adenocarcinoma	PER1	167	1	0.598802395209581	0.367850854306644	0.527122598111301	0.893916778717493	Depleted
sarcoma	CSNK1E	261	1	0.383141762452107	0.389626886968088	0.522673888359658	0.893916778717493	Depleted
kidney papillary cell carcinoma	CRY2	291	1	0.343642611683849	0.391287353646465	0.522116511494622	0.893916778717493	Depleted
rectum adenocarcinoma	NPAS2	167	1	0.598802395209581	0.39151292596416	0.523339311697361	0.893916778717493	Depleted
testicular germ cell tumor	PER3	150	1	0.666666666666667	0.403178671854907	0.52298009750087	0.893916778717493	Depleted
liver hepatocellular carcinoma	PER3	377	4	1.06100795755968	0.641405184687704	0.531540510210695	0.893916778717493	Depleted
uterine carcinosarcoma	RORB	57	1	1.75438596491228	1.33564435146671	0.532509018571944	0.893916778717493	Enriched
diffuse large B-cell lymphoma	PER1	48	1	2.08333333333333	1.31416870677035	0.538694507735604	0.901345058694867	Enriched
esophageal carcinoma	PER1	185	4	2.16216216216216	1.37184042074781	0.543140136164587	0.905083112829811	Enriched
liver hepatocellular carcinoma	NR1D2	377	4	1.06100795755968	1.35865340917873	0.544464060061683	0.905083112829811	Enriched
kidney papillary cell carcinoma	RORA	291	4	1.3745704467354	1.34056434870813	0.547952656650516	0.90740827746549	Enriched
adrenocortical cancer	CRY2	92	1	1.08695652173913	1.27114949771736	0.549407355496684	0.90740827746549	Enriched
kidney chromophobe	CLOCK	66	1	1.51515151515152	1.25980930287839	0.55284604878198	0.910151694457794	Enriched
head & neck squamous cell carcinoma	RORB	528	5	0.946969696969697	0.703218696396582	0.558970655984672	0.917285179051769	Depleted
diffuse large B-cell lymphoma	PER2	48	1	2.08333333333333	1.21826362343784	0.565573944736042	0.925156101293462	Enriched
uterine carcinosarcoma	NPAS2	57	1	1.75438596491228	1.17289959033111	0.578676847030202	0.94357498624033	Enriched
esophageal carcinoma	TIMELESS	185	4	2.16216216216216	1.18846230822934	0.583845551779836	0.948980706385004	Enriched
kidney papillary cell carcinoma	CLOCK	291	2	0.687285223367698	0.558926544128775	0.588025221649044	0.949839563910395	Depleted
sarcoma	RORB	261	2	0.766283524904215	0.570442282957025	0.58808426124921	0.949839563910395	Depleted
lung adenocarcinoma	NR1D1	520	2	0.384615384615385	0.507887998396525	0.5926100020604	0.953566781921403	Depleted
skin cutaneous melanoma	CRY2	104	1	0.961538461538462	1.12177682127327	0.594116803579936	0.953566781921403	Enriched
adrenocortical cancer	CLOCK	92	0	0	0	0.630848908068259	0.955065072308858	Depleted
kidney chromophobe	NPAS2	66	0	0	0	0.628155592203988	0.955065072308858	Depleted
kidney chromophobe	PER2	66	0	0	0	0.631405901323352	0.955065072308858	Depleted
kidney chromophobe	TIMELESS	66	0	0	0	0.635563605966465	0.955065072308858	Depleted
mesothelioma	CLOCK	87	0	0	0	0.629020369023719	0.955065072308858	Depleted
mesothelioma	NPAS2	87	0	0	0	0.643317610651141	0.955065072308858	Depleted
mesothelioma	PER1	87	0	0	0	0.65101115280428	0.955065072308858	Depleted
mesothelioma	RORB	87	0	0	0	0.63251402379887	0.955065072308858	Depleted
pancreatic adenocarcinoma	NR1D1	185	0	0	0	0.648364245350196	0.955065072308858	Depleted
pheochromocytoma & paraganglioma	NR1D1	179	0	0	0	0.644272586674478	0.955065072308858	Depleted
skin cutaneous melanoma	RORA	104	0	0	0	0.629799402869234	0.955065072308858	Depleted
testicular germ cell tumor	CRY1	150	0	0	0	0.649650535725882	0.955065072308858	Depleted
testicular germ cell tumor	CRY2	150	0	0	0	0.641891321498032	0.955065072308858	Depleted
testicular germ cell tumor	CSNK1D	150	0	0	0	0.636510407698804	0.955065072308858	Depleted
testicular germ cell tumor	NR1D1	150	0	0	0	0.630436269093169	0.955065072308858	Depleted
testicular germ cell tumor	NR1D2	150	0	0	0	0.634677279736498	0.955065072308858	Depleted
thymoma	CRY1	124	0	0	0	0.631889476727905	0.955065072308858	Depleted
thymoma	CRY2	124	0	0	0	0.629358319192482	0.955065072308858	Depleted
thymoma	CSNK1D	124	0	0	0	0.628476339490623	0.955065072308858	Depleted
thymoma	CSNK1E	124	0	0	0	0.6350742225439	0.955065072308858	Depleted
thymoma	RORA	124	0	0	0	0.641896876019791	0.955065072308858	Depleted
uveal melanoma	PER2	80	0	0	0	0.649588291294698	0.955065072308858	Depleted
uveal melanoma	PER3	80	0	0	0	0.642646016944982	0.955065072308858	Depleted
uveal melanoma	RORB	80	0	0	0	0.629075022812145	0.955065072308858	Depleted
prostate adenocarcinoma	CSNK1E	498	3	0.602409638554217	0.611951259714284	0.634115490163313	0.955065072308858	Depleted
kidney papillary cell carcinoma	PER3	291	3	1.03092783505155	0.624587448270865	0.634615568898462	0.955065072308858	Depleted
kidney papillary cell carcinoma	PER1	291	3	1.03092783505155	0.636062944753464	0.633200312618561	0.955065072308858	Depleted
cervical & endocervical cancer	RORB	308	5	1.62337662337662	1.24064976855922	0.606899344303736	0.955065072308858	Enriched
sarcoma	PER1	261	5	1.91570881226054	1.21091177040551	0.612866981774063	0.955065072308858	Enriched
lung squamous cell carcinoma	CRY2	506	5	0.988142292490119	1.16056726354972	0.623830271563451	0.955065072308858	Enriched
head & neck squamous cell carcinoma	RORA	528	4	0.757575757575758	0.717208738470797	0.661707683877165	0.961794663722319	Depleted
esophageal carcinoma	NR1D2	185	2	1.08108108108108	1.37617971302486	0.6593838933501	0.961794663722319	Enriched
thymoma	CLOCK	124	2	1.61290322580645	1.34564790736298	0.663112336511677	0.961794663722319	Enriched
breast invasive carcinoma	CLOCK	1101	11	0.999091734786558	0.808674087195735	0.660896125340001	0.961794663722319	Depleted
esophageal carcinoma	CRY2	185	2	1.08108108108108	1.26711153446855	0.673928761782608	0.972489628252029	Enriched
lung squamous cell carcinoma	CLOCK	506	7	1.38339920948617	1.15538389485209	0.674284800838809	0.972489628252029	Enriched
