Cancer_Type	Gene	Cancer_Patients	Gene_Mutated_Cancer_Patients	Cancer_Prevalence_Percent	Other_Prevalence_Percent	Odds_Ratio	Fisher_P	Direction	FDR
prostate adenocarcinoma	CLOCK	498	2	0.40160642570281124	1.2481426448736999	0.3190284178187404	0.13489902556715472	Depleted	0.4015598900603675
liver hepatocellular carcinoma	RORC	377	1	0.26525198938992045	1.2039937353171495	0.2182364642795364	0.13604589174471626	Depleted	0.40263292816933366
colon adenocarcinoma	PER2	461	12	2.6030368763557483	1.6778523489932886	1.5661469933184855	0.13987998034308827	Enriched	0.41160086169920224
lung adenocarcinoma	CRY1	520	8	1.5384615384615385	0.8835500843839968	1.752808988764045	0.14822653280262216	Enriched	0.4336684845425288
bladder urothelial carcinoma	CSNK1D	412	6	1.4563106796116505	0.7857774285433651	1.865948275862069	0.15018544495952738	Enriched	0.4369031126095342
prostate adenocarcinoma	PER2	498	4	0.8032128514056225	1.7632491332342743	0.4511213210207888	0.15306375846026707	Depleted	0.44276070243873866
esophageal carcinoma	NR1D1	185	3	1.6216216216216217	0.7205995388162951	2.270989010989011	0.155520055792362	Enriched	0.44733858744769295
cervical & endocervical cancer	PER1	308	8	2.5974025974025974	1.5653864851725814	1.6768530020703933	0.1599898432581816	Enriched	0.45762457959882114
kidney papillary cell carcinoma	PER2	291	8	2.7491408934707904	1.68899242865463	1.6454246375045694	0.16604960855930634	Enriched	0.4723188865686936
adrenocortical cancer	CSNK1D	92	2	2.1739130434782608	0.7999238167793543	2.755820105820106	0.17148734750681577	Enriched	0.4850912813452468
kidney clear cell carcinoma	PER2	536	5	0.9328358208955224	1.7599681813662127	0.525604604892166	0.17335402029975444	Depleted	0.48522539312683055
esophageal carcinoma	CLOCK	185	0	0.0	1.2298232129131437	0.0	0.17687839307686504	Depleted	0.48522539312683055
rectum adenocarcinoma	RORB	167	0	0.0	1.3427968540187991	0.0	0.17692578453297908	Depleted	0.48522539312683055
thymoma	TIMELESS	124	0	0.0	1.8530900754608846	0.0	0.17709675186059243	Depleted	0.48522539312683055
cervical & endocervical cancer	RORC	308	6	1.948051948051948	1.1473018959649977	1.7118082837579975	0.17780781320464098	Enriched	0.48522539312683055
skin cutaneous melanoma	NR1D1	104	2	1.9230769230769231	0.724568595671656	2.6865325077399382	0.17822544602954915	Enriched	0.48522539312683055
glioblastoma multiforme	CRY1	594	2	0.3367003367003367	0.95009500950095	0.3522048364153627	0.17844694529739194	Depleted	0.48522539312683055
pheochromocytoma & paraganglioma	RORB	179	0	0.0	1.3443441521029384	0.0	0.17911640488470892	Depleted	0.48522539312683055
kidney clear cell carcinoma	RORA	536	2	0.373134328358209	1.0738788903251466	0.3450201137467055	0.18259563722027783	Depleted	0.49204719082516973
brain lower grade glioma	NR1D1	516	1	0.1937984496124031	0.7641163044556912	0.25217500945656285	0.18564859203584755	Depleted	0.49544965183173073
sarcoma	ARNTL	261	0	0.0	0.9969028261711188	0.0	0.18604016632479273	Depleted	0.49544965183173073
head & neck squamous cell carcinoma	NR1D1	528	1	0.1893939393939394	0.7650273224043715	0.24613716454323664	0.18676129453813287	Depleted	0.49544965183173073
adrenocortical cancer	PER3	92	3	3.260869565217391	1.6093705361394153	2.060767236220996	0.18797701124614732	Enriched	0.4961042771032342
testicular germ cell tumor	PER2	150	0	0.0	1.7427942162213923	0.0	0.18913761526509235	Depleted	0.49630267499467995
esophageal carcinoma	CSNK1D	185	3	1.6216216216216217	0.7974634896233667	2.050509731232623	0.18999086777140092	Enriched	0.49630267499467995
