Gene1	Gene2	Cancer_Types	Significant_Cancer_Count	Enriched_Cancer_Count	Depleted_Cancer_Count	Best_FDR	Median_OE_Ratio	Max_OE_Ratio
NPAS2	CRY1	1	0	0	1	1.0	0.5835667600373483	0.5835667600373483
NPAS2	CRY2	1	0	0	1	1.0	0.8787346221441125	0.8787346221441125
NPAS2	CSNK1D	1	0	1	0	1.0	1.4971740839166074	1.4971740839166074
NPAS2	CSNK1E	1	0	1	0	1.0	1.4923702570607769	1.4923702570607769
NPAS2	NR1D1	1	0	1	0	1.0	1.5727391874180865	1.5727391874180865
NPAS2	NR1D2	1	0	1	0	1.0	1.0404744563520967	1.0404744563520967
NPAS2	PER1	1	0	1	0	1.0	1.4129140342732576	1.4129140342732576
NPAS2	PER2	1	0	1	0	1.0	1.0223306217230652	1.0223306217230652
NPAS2	PER3	1	0	1	0	1.0	1.1925205113527952	1.1925205113527952
NPAS2	RORA	1	0	1	0	1.0	1.168770453482936	1.168770453482936
NPAS2	RORB	1	0	1	0	1.0	1.3101008777675882	1.3101008777675882
NPAS2	RORC	1	0	0	1	1.0	0.9856748587199369	0.9856748587199369
NR1D1	NR1D2	1	0	1	0	1.0	3.391555027980329	3.391555027980329
PER1	CLOCK	1	0	1	0	1.0	1.6200328635238028	1.6200328635238028
PER1	NR1D1	1	0	1	0	1.0	1.2983640612827838	1.2983640612827838
PER1	NR1D2	1	0	1	0	1.0	1.3049719431032234	1.3049719431032234
PER1	PER2	1	0	1	0	1.0	1.0755965078966712	1.0755965078966712
PER1	PER3	1	0	1	0	1.0	1.0317939949589494	1.0317939949589494
PER1	RORA	1	0	1	0	1.0	1.7942369110417338	1.7942369110417338
PER1	RORB	1	0	1	0	1.0	1.6172332373774947	1.6172332373774947
PER1	RORC	1	0	0	1	1.0	0.8105041335710812	0.8105041335710812
PER2	CLOCK	1	0	0	1	1.0	0.8338336335134413	0.8338336335134413
PER2	NR1D1	1	0	1	0	1.0	1.8817330761631461	1.8817330761631461
PER2	NR1D2	1	0	0	1	1.0	0.9349726520499275	0.9349726520499275
PER2	PER3	1	0	0	1	1.0	0.9566631589017507	0.9566631589017507
PER2	RORA	1	0	1	0	1.0	1.547029702970297	1.547029702970297
