Cancer_Type	N	Gene1	Gene2	Gene1_Mutated	Gene2_Mutated	Observed_CoMutation	Expected_Independence	Permutation_Expected	Null_SD	Observed_Expected_Ratio	Permutation_Z	Permutation_P	FDR	Direction
uterine corpus endometrioid carcinoma	42	ARNTL	RORB	7	10	2	1.6666666666666667	1.67	1.0498620009420774	1.1976047904191618	0.31432702555562514	1.0	1.0	Enriched
uterine corpus endometrioid carcinoma	42	ARNTL	RORC	7	8	2	1.3333333333333333	1.3534	0.9556148596458709	1.4777597162701346	0.6766324251588295	0.5920407959204079	1.0	Enriched
uterine corpus endometrioid carcinoma	42	ARNTL	CLOCK	7	14	3	2.3333333333333335	2.341	1.1550984482902418	1.2815036309269543	0.570514141868549	0.6683331666833316	1.0	Enriched
uterine corpus endometrioid carcinoma	42	ARNTL	NR1D1	7	5	0	0.8333333333333334	0.8269	0.7923377877628907	0.0	-1.0436205527123643	0.5693430656934306	1.0	Depleted
uterine corpus endometrioid carcinoma	42	ARNTL	NR1D2	7	5	1	0.8333333333333334	0.8431	0.8019642789242343	1.1860989206499823	0.19564462423496945	1.0	1.0	Enriched
uterine corpus endometrioid carcinoma	42	CSNK1D	CSNK1E	7	7	2	1.1666666666666667	1.1748	0.9088055637787852	1.7024174327545114	0.908005004468551	0.5764423557644236	1.0	Enriched
uterine corpus endometrioid carcinoma	42	CSNK1D	PER1	7	13	2	2.1666666666666665	2.1592	1.1299482458519199	0.9262689885142646	-0.14089140859718896	1.0	1.0	Depleted
uterine corpus endometrioid carcinoma	42	CSNK1D	PER2	7	18	1	3.0	2.9764	1.209540962073585	0.3359763472651525	-1.6340083237956196	0.20767923207679231	1.0	Depleted
uterine corpus endometrioid carcinoma	42	CSNK1D	PER3	7	22	4	3.6666666666666665	3.6533	1.2205933371969064	1.0949005009169792	0.284042186233948	1.0	1.0	Enriched
uterine corpus endometrioid carcinoma	42	CSNK1D	RORA	7	9	1	1.5	1.5061	1.0211106975767468	0.6639665360865813	-0.4956367622051687	0.688031196880312	1.0	Depleted
uterine corpus endometrioid carcinoma	42	CSNK1D	RORB	7	10	3	1.6666666666666667	1.6829	1.0415642445896274	1.782637114504724	1.2645403361738217	0.3301669833016698	1.0	Enriched
uterine corpus endometrioid carcinoma	42	CSNK1D	RORC	7	8	1	1.3333333333333333	1.3382	0.9662888447111151	0.7472724555372888	-0.3499988661269389	1.0	1.0	Depleted
uterine corpus endometrioid carcinoma	42	CSNK1D	CLOCK	7	14	2	2.3333333333333335	2.3381	1.1619481065608024	0.855395406526667	-0.2909768500770028	1.0	1.0	Depleted
