Gene1	Gene2	Gene1_Mutant	Gene2_Mutant	Observed_CoMutation	Expected_CoMutation	Odds_Ratio	P_value	FDR	Direction	Observed_Expected_Ratio
CRY1	NR1D2	27	20	7	0.9872029250457038	13.65	1.59902411676837e-05	1.827456133449566e-05	Co-mutated	7.090740740740741
CSNK1E	NR1D2	27	20	7	0.9872029250457038	13.65	1.59902411676837e-05	1.827456133449566e-05	Co-mutated	7.090740740740741
CRY1	CRY2	27	28	8	1.3820840950639854	10.526315789473685	1.918406981612053e-05	2.1717814886174183e-05	Co-mutated	5.788359788359788
NR1D1	RORB	24	32	8	1.4040219378427787	10.395833333333334	2.1350594471903043e-05	2.394459193110622e-05	Co-mutated	5.697916666666667
RORA	RORC	35	36	10	2.303473491773309	7.476923076923077	2.4445292641095873e-05	2.7161436267884302e-05	Co-mutated	4.341269841269841
NR1D1	RORC	24	36	8	1.5795246800731262	8.839285714285714	5.498936611067225e-05	6.053875168147403e-05	Co-mutated	5.064814814814815
CRY1	NR1D1	27	24	7	1.1846435100548447	10.355882352941176	6.244500374196062e-05	6.750811215347094e-05	Co-mutated	5.90895061728395
CSNK1E	NR1D1	27	24	7	1.1846435100548447	10.355882352941176	6.244500374196062e-05	6.750811215347094e-05	Co-mutated	5.90895061728395
NR1D1	NR1D2	24	20	6	0.8775137111517367	12.119047619047619	9.587655314942141e-05	0.00010272487837438008	Co-mutated	6.8375
NR1D2	RORA	20	35	7	1.2797074954296161	9.596153846153847	0.00010158104391496173	0.00010787367495394166	Co-mutated	5.47
ARNTL	NR1D2	36	20	7	1.3162705667276051	9.246684350132625	0.00012334656544530997	0.00012983848994243153	Co-mutated	5.3180555555555555
CRY1	RORC	27	36	8	1.776965265082267	7.398496240601504	0.00014368072636127888	0.00014992771446394317	Co-mutated	4.502057613168724
CLOCK	CSNK1E	39	27	8	1.9250457038391224	6.64176570458404	0.0002645821330553422	0.0002737056548848368	Co-mutated	4.155745489078822
CSNK1D	RORA	26	35	7	1.663619744058501	6.4868421052631575	0.0006500186888504649	0.0006666858347184255	Co-mutated	4.207692307692308
CSNK1E	RORC	27	36	7	1.776965265082267	5.925862068965517	0.001004480462491491	0.0010215055550760925	Co-mutated	3.9393004115226335
CSNK1E	RORA	27	35	6	1.7276051188299817	4.83743842364532	0.004917931114713104	0.004959258266937584	Co-mutated	3.473015873015873
ARNTL	NR1D1	36	24	4	1.5795246800731262	3.06875	0.06504007279501668	0.06504007279501668	Neutral	2.5324074074074074
