Gene A,Gene B,Both Mutated n,Gene A Only n,Gene B Only n,Neither Mutated n,Odds Ratio,Log2 Odds Ratio,Unadjusted Fisher P,Unadjusted Fisher FDR,Unadjusted Significance,Permutation Observed/Expected Ratio,Permutation TMB-Adjusted FDR,Permutation TMB-Adjusted Significance
CSNK1E,RORB,14,75,137,1068,1.455,0.541,0.2295798823236164,0.3602704239566293,Not Significant,0.5991970759182695,1.0,Not Significant (FDR >= 0.05)
PER1,RORA,23,161,106,1004,1.353,0.436,0.2311735220388371,0.3602704239566293,Not Significant,1.7942369110417338,1.0,Not Significant (FDR >= 0.05)
PER3,RORC,24,168,106,996,1.342,0.425,0.2408608452357054,0.3705551465164698,Not Significant,1.1909866133104663,1.0,Not Significant (FDR >= 0.05)
NR1D1,PER2,15,68,162,1049,1.428,0.514,0.2462701684771314,0.3740812685728578,Not Significant,1.881733076163146,1.0,Not Significant (FDR >= 0.05)
RORC,TIMELESS,17,113,202,962,0.716,-0.481,0.2665507039576891,0.3998260559365337,Not Significant,1.3193482419684677,1.0,Not Significant (FDR >= 0.05)
NR1D1,NR1D2,9,74,91,1120,1.497,0.582,0.2846250502911255,0.4216667411720378,Not Significant,3.391555027980329,1.0,Not Significant (FDR >= 0.05)
CRY2,RORA,13,85,116,1080,1.424,0.51,0.2900001618358659,0.4243904807354135,Not Significant,1.0298130889243602,1.0,Not Significant (FDR >= 0.05)
NR1D2,PER1,18,82,166,1028,1.359,0.443,0.2952402353813254,0.4268533523585427,Not Significant,1.3049719431032234,1.0,Not Significant (FDR >= 0.05)
CRY1,CRY2,10,90,88,1106,1.396,0.482,0.3254960294857917,0.4649943278368453,Not Significant,0.5170898185014737,1.0,Not Significant (FDR >= 0.05)
CLOCK,PER1,26,130,158,980,1.241,0.311,0.3309109978983567,0.4671684676212095,Not Significant,1.6200328635238028,1.0,Not Significant (FDR >= 0.05)
NPAS2,PER1,28,139,156,971,1.254,0.326,0.341627478210468,0.4766895044797228,Not Significant,1.4129140342732576,1.0,Not Significant (FDR >= 0.05)
CSNK1E,NR1D1,3,86,80,1125,0.491,-1.028,0.3651340594746505,0.5036331854822765,Not Significant,0.0,1.0,Not Significant (FDR >= 0.05)
ARNTL,RORC,13,92,117,1072,1.295,0.373,0.3973489388353819,0.5418394620482481,Not Significant,1.4777597162701346,1.0,Not Significant (FDR >= 0.05)
CRY1,TIMELESS,20,80,199,995,1.25,0.322,0.4047568453789139,0.5457395668030299,Not Significant,2.3416461772626156,0.993900609939006,Not Significant (FDR >= 0.05)
CRY2,RORB,14,84,137,1059,1.288,0.365,0.4122642220469305,0.5496856293959073,Not Significant,1.8577001671930151,1.0,Not Significant (FDR >= 0.05)
CSNK1E,RORA,11,78,118,1087,1.299,0.378,0.4612454259619805,0.6078611877930044,Not Significant,2.0058839261834716,1.0,Not Significant (FDR >= 0.05)
PER3,TIMELESS,36,156,183,919,1.159,0.213,0.4660269106413033,0.6078611877930044,Not Significant,1.4232511801124368,1.0,Not Significant (FDR >= 0.05)
CLOCK,RORC,18,138,112,1026,1.195,0.257,0.4798130342744818,0.6191135926122346,Not Significant,1.127141568981064,1.0,Not Significant (FDR >= 0.05)
NR1D1,PER1,14,69,170,1041,1.242,0.313,0.5146257526494943,0.6569690459355246,Not Significant,1.2983640612827838,1.0,Not Significant (FDR >= 0.05)
PER1,RORB,24,160,127,983,1.161,0.215,0.5355591131204525,0.676495721836361,Not Significant,1.6172332373774947,1.0,Not Significant (FDR >= 0.05)
CLOCK,TIMELESS,29,127,190,948,1.139,0.188,0.5692386282898207,0.7095815788161954,Not Significant,1.8705574261129816,1.0,Not Significant (FDR >= 0.05)
NR1D2,TIMELESS,19,81,200,994,1.166,0.221,0.5785831627347702,0.7095815788161954,Not Significant,2.086375964948884,1.0,Not Significant (FDR >= 0.05)
NPAS2,RORC,19,148,111,1016,1.175,0.233,0.5805340334375086,0.7095815788161954,Not Significant,0.9856748587199368,1.0,Not Significant (FDR >= 0.05)
CSNK1E,RORC,7,82,123,1082,0.751,-0.413,0.5854048025233612,0.7095815788161954,Not Significant,0.758322590429969,1.0,Not Significant (FDR >= 0.05)
PER1,TIMELESS,28,156,191,919,0.864,-0.212,0.5954987779044788,0.7145985334853745,Not Significant,0.8097165991902834,1.0,Not Significant (FDR >= 0.05)
CLOCK,CSNK1E,12,144,77,1061,1.148,0.199,0.6153232769159347,0.7310771606921996,Not Significant,0.8613264427217915,1.0,Not Significant (FDR >= 0.05)
NR1D1,PER3,14,69,178,1033,1.177,0.236,0.631290754451638,0.7414842951266619,Not Significant,0.3808363165511463,1.0,Not Significant (FDR >= 0.05)
CSNK1D,TIMELESS,14,61,205,1014,1.135,0.183,0.6364406866503849,0.7414842951266619,Not Significant,0.7546030787805614,1.0,Not Significant (FDR >= 0.05)
CSNK1E,TIMELESS,13,76,206,999,0.83,-0.27,0.6604536868005748,0.7615255795350891,Not Significant,2.2653477308766896,1.0,Not Significant (FDR >= 0.05)
PER2,TIMELESS,32,145,187,930,1.098,0.134,0.666334882093203,0.7615255795350891,Not Significant,1.1702750146284375,1.0,Not Significant (FDR >= 0.05)
CRY2,TIMELESS,18,80,201,995,1.114,0.155,0.6750613247453099,0.7642203676361998,Not Significant,0.5850690381465012,1.0,Not Significant (FDR >= 0.05)
NR1D1,RORA,9,74,120,1091,1.106,0.145,0.7073938907752036,0.7933389429254619,Not Significant,0.0,1.0,Not Significant (FDR >= 0.05)
CLOCK,NR1D1,11,145,72,1066,1.123,0.168,0.7271432920227641,0.8079369911364046,Not Significant,1.212268153715602,1.0,Not Significant (FDR >= 0.05)
NR1D1,TIMELESS,15,68,204,1007,1.089,0.123,0.762574488118323,0.8395315465522822,Not Significant,1.0329511414110113,1.0,Not Significant (FDR >= 0.05)
RORB,RORC,16,135,114,1029,1.07,0.097,0.7741726296859321,0.8445519596573805,Not Significant,0.5277601857715853,1.0,Not Significant (FDR >= 0.05)
CSNK1D,RORA,8,67,121,1098,1.084,0.116,0.8419895747276529,0.9102589997055708,Not Significant,0.6639665360865813,1.0,Not Significant (FDR >= 0.05)
CRY1,RORC,9,91,121,1073,0.877,-0.189,0.8627723617164068,0.9236131323760676,Not Significant,0.5899705014749262,1.0,Not Significant (FDR >= 0.05)
CSNK1E,NPAS2,12,77,155,1050,1.056,0.078,0.8697356996541301,0.9236131323760676,Not Significant,1.4923702570607769,1.0,Not Significant (FDR >= 0.05)
RORA,RORC,12,117,118,1047,0.91,-0.136,0.877821390895281,0.9240225167318746,Not Significant,1.756337450968913,1.0,Not Significant (FDR >= 0.05)
RORB,TIMELESS,26,125,193,950,1.024,0.034,0.9082552358134848,0.947744593892332,Not Significant,0.5222750300308142,1.0,Not Significant (FDR >= 0.05)
ARNTL,NR1D1,6,99,77,1112,0.875,-0.192,1.0,1.0,Not Significant,0.0,1.0,Not Significant (FDR >= 0.05)
NR1D1,RORB,9,74,142,1069,0.916,-0.127,1.0,1.0,Not Significant,0.0,1.0,Not Significant (FDR >= 0.05)
CRY2,NR1D1,6,92,77,1119,0.948,-0.077,1.0,1.0,Not Significant,0.0,1.0,Not Significant (FDR >= 0.05)
CRY2,RORC,10,88,120,1076,1.019,0.027,1.0,1.0,Not Significant,1.1570056693277797,1.0,Not Significant (FDR >= 0.05)
RORA,TIMELESS,22,107,197,968,1.01,0.015,1.0,1.0,Not Significant,1.1676786548341895,1.0,Not Significant (FDR >= 0.05)
